Aaron Brooks,"(0.4375, 8)"
Jason Thompson,"(0.5, 4)"
Jeff Green,"(0.45652173913043476, 23)"
Jeff Teague,"(0.29411764705882354, 34)"
Jeff Withey,"(0.25, 4)"
Jerami Grant,"(0.38235294117647056, 17)"
Jeremy Lamb,"(0.3888888888888889, 18)"
Jeremy Lin,"(0.42857142857142855, 14)"
Jerian Grant,"(0.4444444444444444, 9)"
Jerryd Bayless,"(0.38235294117647056, 17)"
Jimmy Butler,"(0.5476190476190477, 42)"
Joakim Noah,"(1.0, 1)"
Joe Ingles,"(1.0, 4)"
Joe Johnson,"(0.4891304347826087, 46)"
Joffrey Lauvergne,"(1.0, 1)"
John Henson,"(0.3333333333333333, 3)"
John Jenkins,"(0.0, 2)"
John Wall,"(0.5517241379310345, 58)"
Johnny O'Bryant III,"(1.0, 1)"
Jon Leuer,"(0.5714285714285714, 14)"
Jonas Jerebko,"(0.4166666666666667, 6)"
Jonas Valanciunas,"(0.2857142857142857, 7)"
Jonathon Simmons,"(0.5555555555555556, 9)"
Jordan Clarkson,"(0.3055555555555556, 36)"
Jordan Hill,"(0.45454545454545453, 11)"
Jose Calderon,"(0.3888888888888889, 9)"
Josh Richardson,"(0.5, 3)"
Josh Smith,"(1.5, 1)"
Jrue Holiday,"(0.5, 41)"
Julius Randle,"(0.4583333333333333, 24)"
Justin Anderson,"(0.0, 2)"
Justin Holiday,"(0.0, 3)"
Justise Winslow,"(0.36666666666666664, 15)"
Karl-Anthony Towns,"(0.6111111111111112, 45)"
Kawhi Leonard,"(0.525, 20)"
Kelly Olynyk,"(0.6666666666666666, 15)"
Kelly Oubre Jr.,"(0.16666666666666666, 6)"
Kemba Walker,"(0.45652173913043476, 46)"
Kendall Marshall,"(0.0, 2)"
Kenneth Faried,"(0.5238095238095238, 21)"
Kent Bazemore,"(0.6071428571428571, 28)"
Kentavious Caldwell-Pope,"(0.4146341463414634, 41)"
Kevin Durant,"(0.41025641025641024, 39)"
Kevin Garnett,"(0.5, 2)"
Kevin Love,"(0.38461538461538464, 26)"
Kevin Martin,"(0.4, 20)"
Kevin Seraphin,"(0.3, 10)"
Khris Middleton,"(0.4594594594594595, 37)"
Kirk Hinrich,"(0.75, 2)"
Klay Thompson,"(0.484375, 32)"
Kobe Bryant,"(0.4230769230769231, 39)"
Kosta Koufos,"(0.3333333333333333, 3)"
Kris Humphries,"(0.6666666666666666, 3)"
Kristaps Porzingis,"(0.5, 26)"
Kyle Anderson,"(0.2727272727272727, 11)"
Kyle Korver,"(0.4772727272727273, 22)"
Kyle Lowry,"(0.5204081632653061, 49)"
